Year,avg_total_sales,num_hits
1989,4.3205882352941183,17
1985,3.8535714285714286,14
1984,3.5964285714285711,14
1988,3.1473333333333327,15
1990,3.0856250000000003,16
1992,1.7706976744186047,43
1986,1.7657142857142853,21
1987,1.3562499999999997,16
1980,1.2644444444444445,9
1983,0.9882352941176471,17
