Name,total_sales
Wii Sports,82.740000000000009
Super Mario Bros.,40.24
Mario Kart Wii,35.830000000000005
Wii Sports Resort,33.0
Pokemon Red/Pokemon Blue,31.380000000000003
Tetris,30.259999999999998
New Super Mario Bros.,30.009999999999998
Wii Play,29.009999999999998
New Super Mario Bros. Wii,28.61
Duck Hunt,28.31
