Year,total_sales
2008,678.89999999999884
2009,667.29999999999734
2007,611.12999999999624
2010,600.44999999999618
2006,521.03999999999655
2011,515.98999999999762
2005,459.93999999999789
2004,419.309999999999
2002,395.51999999999828
2013,368.10999999999859
